idade,salario,email
50,1281.6645233981756,glcmhipl@nukxtk.com
29,1835.6748704614406,gbdbcvhd@vylxcw.com
39,3684.5740672962024,vzkknjdy@zafnza.com
39,2434.5871251846556,nrolkmgk@vyknrz.com
63,2016.654596278955,ttzvqxte@tvmanb.com
-1,2181.162353675755,uuumvvko@qgudqo.com
-1,2290.203056954402,qyxwfhur@ztyhsi.com
-1,4394.679179698698,xadrydrn@xrwbrx.com
-1,1546.4853257681152,nlubbeiw@mlqlya.com
-1,3835.6439876404743,ajijxdiq@tgwzma.com
44,3211.279907631631,gfdumhac@ibpqix.com
44,2186.040574591194,mhmgieys@vsrkmm.com
51,2679.123425785106,iieqchth@tpicwe.com
38,2024.8277743778322,xqewkpyb@hgcuzi.com
47,3446.054843462722,wqbsuuqo@mvfygk.com
50,-500.0,uispchws@bwmqgg.com
45,-500.0,tbwshtpo@cmujnc.com
64,-500.0,wlcjmoab@mpvzkj.com
50,-500.0,byqjzujx@gklfaw.com
22,-500.0,jwufsuwp@lvnwrw.com
36,2587.1353088555534,vpxseezr@fwdkgc.com
21,1203.0741241575877,ugqmfkxs@ogbgpd.com
52,4546.46859580264,zbcqjdts@nvzjwq.com
34,1110.4670874948188,tjepmbae@itenul.com
61,3315.4595820302347,xrpwlacd@doekmb.com
45,2753.896492072348,email_invalido
47,3688.1045411807977,email_invalido
46,2312.610669898928,email_invalido
63,1620.1664669109769,email_invalido
23,4927.363553242125,email_invalido
52,4355.7340082774535,hdzkveyb@tczotm.com
58,4441.618473246701,gzjibtre@hcgcdh.com
54,2001.0054420634563,lyveirqq@lbvyul.com
41,1155.3389377176927,xogzixwn@agtxab.com
46,2213.0620586928912,slxunrms@sajdcr.com
63,3148.3297087866217,vdxnwvvt@zpaabc.com
48,2306.604967184164,kfoxxbgo@dojfbj.com
52,4311.476015150354,xefqragf@jbvtkl.com
50,2086.1716632789676,cerafxax@rsqrgn.com
38,4861.007321563079,auoalzip@hixepc.com
49,2829.060646454914,oriapajl@gobebx.com
40,4368.092300047925,quwcqshv@prgwbe.com
50,1777.5201359794921,ibtrdtos@boaqpp.com
20,2645.415620226714,cttzzcgp@tksabk.com
35,3798.048843068775,dinmfzcd@fjennp.com
42,1553.4123696712054,hwgwfvly@seyytt.com
59,1530.9816889718793,qkztqyfq@ydwbdj.com
48,4878.1474684566365,kjzoqogu@jmulva.com
20,3858.380416719808,cmcyuthl@hfyhym.com
57,1164.270067071503,nzctptai@ylyurt.com
